Model,Member,Var,Season,Stat,value,Rank
EC-Earth3,r3i1p1f1,pr,JJA,RMSE,6.3,NA
EC-Earth3,r3i1p1f1,pr,JJA,BIAS,-0.1,NA
EC-Earth3,r3i1p1f1,pr,SON,RMSE,4.1,NA
EC-Earth3,r3i1p1f1,pr,SON,BIAS,-0.5,NA
EC-Earth3,r4i1p1f1,pr,DJF,RMSE,3.2,NA
EC-Earth3,r4i1p1f1,pr,DJF,BIAS,0.2,NA
EC-Earth3,r4i1p1f1,pr,MAM,RMSE,5,NA
EC-Earth3,r4i1p1f1,pr,MAM,BIAS,-1.7,NA
EC-Earth3,r4i1p1f1,pr,JJA,RMSE,7.5,NA
EC-Earth3,r4i1p1f1,pr,JJA,BIAS,-1,NA
EC-Earth3,r4i1p1f1,pr,SON,RMSE,4.5,NA
EC-Earth3,r4i1p1f1,pr,SON,BIAS,-1.2,NA
EC-Earth3-Veg,r1i1p1f1,pr,DJF,RMSE,4,NA
EC-Earth3-Veg,r1i1p1f1,pr,DJF,BIAS,-0.4,NA
EC-Earth3-Veg,r1i1p1f1,pr,MAM,RMSE,5,NA
EC-Earth3-Veg,r1i1p1f1,pr,MAM,BIAS,-0.4,NA
EC-Earth3-Veg,r1i1p1f1,pr,JJA,RMSE,8,NA
EC-Earth3-Veg,r1i1p1f1,pr,JJA,BIAS,-2.3,NA
EC-Earth3-Veg,r1i1p1f1,pr,SON,RMSE,6.2,NA
EC-Earth3-Veg,r1i1p1f1,pr,SON,BIAS,-1.1,NA
EC-Earth3-Veg,r2i1p1f1,pr,DJF,RMSE,4.9,NA
EC-Earth3-Veg,r2i1p1f1,pr,DJF,BIAS,1.5,NA
EC-Earth3-Veg,r2i1p1f1,pr,MAM,RMSE,5.4,NA
EC-Earth3-Veg,r2i1p1f1,pr,MAM,BIAS,0.2,NA
EC-Earth3-Veg,r2i1p1f1,pr,JJA,RMSE,6.9,NA
EC-Earth3-Veg,r2i1p1f1,pr,JJA,BIAS,0.6,NA
EC-Earth3-Veg,r2i1p1f1,pr,SON,RMSE,6.5,NA
EC-Earth3-Veg,r2i1p1f1,pr,SON,BIAS,-2.4,NA
EC-Earth3-Veg,r3i1p1f1,pr,DJF,RMSE,4.6,NA
EC-Earth3-Veg,r3i1p1f1,pr,DJF,BIAS,-0.5,NA
EC-Earth3-Veg,r3i1p1f1,pr,MAM,RMSE,5.8,NA
EC-Earth3-Veg,r3i1p1f1,pr,MAM,BIAS,0.5,NA
EC-Earth3-Veg,r3i1p1f1,pr,JJA,RMSE,6.5,NA
