Model,Member,Var,Season,RMSE,BIAS,Both
EC-Earth3-Veg,r5i1p1f1,pr,JJA,7.4,-2.6,7.8434686204510315
EC-Earth3-Veg,r5i1p1f1,pr,SON,5.4,2.3,5.869412236331676
FGOALS-g3,r1i1p1f1,pr,DJF,3.8,-0.5,3.83275357934736
FGOALS-g3,r1i1p1f1,pr,MAM,5.5,-0.5,5.522680508593631
FGOALS-g3,r1i1p1f1,pr,JJA,5.6,-0.9,5.671860364994893
FGOALS-g3,r1i1p1f1,pr,SON,4.4,1.4,4.6173585522460785
FGOALS-g3,r3i1p1f1,pr,DJF,3.6,1.1,3.7643060449437424
FGOALS-g3,r3i1p1f1,pr,MAM,5.4,-0.1,5.400925846556311
FGOALS-g3,r3i1p1f1,pr,JJA,6.3,-0.2,6.30317380372777
FGOALS-g3,r3i1p1f1,pr,SON,3.9,-0.4,3.9204591567825315
FGOALS-g3,r4i1p1f1,pr,DJF,3.6,-0.7,3.66742416417845
FGOALS-g3,r4i1p1f1,pr,MAM,5.8,0.5,5.821511831131154
FGOALS-g3,r4i1p1f1,pr,JJA,5.7,-0.3,5.707889277132135
FGOALS-g3,r4i1p1f1,pr,SON,5.1,1.7,5.375872022286245
FGOALS-g3,r5i1p1f1,pr,DJF,3.5,1.3,3.7336309405188937
FGOALS-g3,r5i1p1f1,pr,MAM,4.7,-0.8,4.767598976424087
FGOALS-g3,r5i1p1f1,pr,JJA,7.2,-2,7.472616676907762
FGOALS-g3,r5i1p1f1,pr,SON,4.7,-0.3,4.709564735726647
GFDL-CM4,r1i1p1f1,pr,DJF,1.7,0.1,1.70293863659264
GFDL-CM4,r1i1p1f1,pr,MAM,2.6,-0.3,2.6172504656604803
GFDL-CM4,r1i1p1f1,pr,JJA,5.1,-1,5.197114584074513
GFDL-CM4,r1i1p1f1,pr,SON,2.3,0.4,2.33452350598575
GFDL-ESM4,r1i1p1f1,pr,DJF,1.8,-0.2,1.8110770276274835
GFDL-ESM4,r1i1p1f1,pr,MAM,2.6,-0.4,2.6305892875931813
GFDL-ESM4,r1i1p1f1,pr,JJA,4.6,-0.8,4.6690470119715
GFDL-ESM4,r1i1p1f1,pr,SON,2.4,0.3,2.4186773244895647
